,TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,TransactionDate,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,Terrorism,UserTenure,IsFraud,Income,Expenditure,GiftsTransaction,TransactionAmount,Cleaned_TransactionTime,Transaction_Time_of_Day
756,14217,2397,57,Male,Professional,Bachelor,Married,1,2023-01-24,M005,Payment,Adelaide,Mobile,-20.917574,142.702789,0,46,0,78945.79,50972.68,141.85,173.55,2024-09-14 20:38:09,Evening
757,9910,3027,37,Male,Professional,High School,Married,3,2023-12-12,M005,Transfer,Adelaide,Mobile,-31.840233,145.612793,0,23,1,62520.63,38956.73,2642.18,1004.35,2024-09-14 04:40:29,Night
758,11066,1693,23,Male,Professional,Master,Single,2,2023-09-04,M007,Purchase,Perth,Mobile,-37.0201,144.9646,1,65,0,54856.77,34628.31,1881.52,590.17,2024-09-14 11:19:18,Morning
759,3853,2963,41,Male,Student,High School,Single,4,2023-12-02,M005,Purchase,Canberra,Mobile,-37.0201,144.9646,0,50,0,151335.28,99211.02,14699.08,49.26,2024-09-14 08:20:03,Morning
760,15144,3591,23,Male,Professional,Bachelor,Married,4,2023-07-17,M001,Purchase,Brisbane,Mobile,-31.840233,145.612793,1,51,1,44450.13,19004.26,4243.91,150.38,2024-09-14 05:13:38,Night
761,3027,1037,33,Female,Student,High School,Single,3,2023-11-04,M002,Withdrawal,Brisbane,Mobile,-25.042261,117.793221,1,63,1,46751.68,29979.64,1388.07,4.62,2024-09-14 05:07:55,Night
762,5747,3797,30,Male,Student,High School,Single,0,2023-12-15,M003,Purchase,Canberra,Mobile,-20.917574,142.702789,0,40,1,134176.23,98101.26,2477.79,1427.25,2024-09-14 00:00:00,Night
763,5138,3338,39,Female,Student,High School,Single,4,2023-12-13,M003,Purchase,Sydney,Mobile,-31.840233,145.612793,0,63,1,76438.39,47730.92,1777.62,35.16,2024-09-14 00:00:00,Night
764,11817,2880,52,Male,Professional,PhD,Married,2,2023-12-03,M007,Transfer,Perth,Mobile,-31.840233,145.612793,1,50,0,78356.89,29104.65,6809.41,59.21,2024-09-14 13:39:01,Afternoon
765,2389,2209,34,Male,Unemployed,High School,Single,4,2023-01-26,M008,Purchase,Darwin,Mobile,-20.917574,142.702789,1,79,1,113296.55,66379.49,7535.96,165.84,2024-09-14 02:56:04,Night
766,8972,1372,38,Male,Student,Bachelor,Single,0,2023-08-24,M003,Payment,Darwin,Mobile,-25.042261,117.793221,0,8,0,65319.74,41530.67,2623.07,232.55,2024-09-14 10:23:19,Morning
767,14545,755,52,Male,Professional,High School,Single,2,2023-11-15,M006,Transfer,Brisbane,Mobile,-31.840233,145.612793,0,21,1,74307.57,54707.59,2301.22,308.62,2024-09-14 01:09:58,Night
768,1592,2630,34,Male,Student,High School,Divorced,2,2023-07-07,M005,Withdrawal,Hobart,Mobile,-20.917574,142.702789,0,59,1,95300.57,29367.67,3068.4,30.97,2024-09-14 01:58:37,Night
769,7711,3085,27,Female,Student,High School,Single,2,2023-07-18,M005,Withdrawal,Canberra,Desktop,-37.0201,144.9646,0,65,1,40705.15,24478.42,6770.27,134.19,2024-09-14 17:00:36,Afternoon
770,14065,2807,18,Female,Professional,High School,Married,1,2023-11-16,M008,Transfer,Hobart,Mobile,-20.917574,142.702789,0,4,1,45854.41,29602.58,586.61,124.36,2024-09-14 04:15:23,Night
771,2391,3864,31,Male,Professional,High School,Single,3,2023-12-18,M007,Withdrawal,Darwin,Mobile,-25.042261,117.793221,0,13,1,44577.43,17812.65,6088.37,81.63,2024-09-14 23:59:59,Night
772,3082,1491,34,Male,Student,High School,Single,3,2023-04-19,M003,Purchase,Canberra,Tablet,-41.640079,146.315918,0,49,0,58310.48,44858.18,11447.32,49.97,2024-09-14 16:41:22,Afternoon
773,8773,3167,25,Female,Professional,PhD,Single,0,2023-12-21,M002,Transfer,Hobart,Desktop,-30.000233,136.209152,0,1,0,49041.99,20668.03,3189.33,738.21,2024-09-14 12:07:32,Afternoon
774,380,2551,19,Female,Student,Bachelor,Divorced,0,2023-11-14,M008,Purchase,Sydney,Mobile,-37.0201,144.9646,0,20,1,137190.58,64343.23,4715.02,1022.81,2024-09-14 03:35:47,Night
775,9406,4269,32,Female,Student,PhD,Single,0,2023-09-28,M006,Purchase,Darwin,Mobile,-20.917574,142.702789,1,21,0,66797.14,53330.98,1352.83,73.2,2024-09-14 07:23:22,Morning
776,15240,3776,34,Male,Unemployed,PhD,Married,0,2023-06-24,M008,Transfer,Brisbane,Mobile,-31.840233,145.612793,0,20,0,81089.2,36413.69,7148.02,117.61,2024-09-14 14:27:32,Afternoon
777,11320,1098,18,Male,Professional,Bachelor,Married,0,2023-06-10,M007,Withdrawal,Melbourne,Tablet,-37.0201,144.9646,0,74,1,82479.31,59907.46,3284.96,22.68,2024-09-14 01:02:06,Night
778,14733,4897,40,Female,Student,Master,Married,3,2023-12-27,M006,Withdrawal,Brisbane,Mobile,-37.0201,144.9646,1,67,1,38786.9,27503.14,3995.92,818.59,2024-09-14 12:21:21,Afternoon
779,5156,765,29,Female,Professional,High School,Single,1,2023-10-22,M003,Withdrawal,Perth,Mobile,-35.473469,149.012375,0,75,1,53647.82,35267.94,14856.39,20.6,2024-09-14 00:40:22,Night
780,8034,1588,35,Female,Professional,Bachelor,Single,4,2023-05-22,M004,Withdrawal,Hobart,Mobile,-37.0201,144.9646,0,17,1,40397.27,21298.51,4212.92,22.86,2024-09-14 02:01:52,Night
781,3181,4292,53,Female,Professional,High School,Single,0,2023-09-14,M007,Transfer,Canberra,Mobile,-31.840233,145.612793,0,82,0,56405.44,17952.1,2165.68,737.05,2024-09-14 11:19:45,Morning
782,16615,2266,32,Female,Professional,Bachelor,Married,1,2023-10-04,M007,Transfer,Adelaide,Tablet,-37.0201,144.9646,0,118,1,51899.65,37952.0,766.84,1320.0,2024-09-14 00:26:57,Night
783,8538,4148,40,Male,Student,Bachelor,Married,0,2023-11-02,M008,Transfer,Canberra,Desktop,-41.640079,146.315918,1,93,1,51459.9,27384.05,9572.58,31.57,2024-09-14 04:43:46,Night
784,10057,2280,47,Male,Professional,Bachelor,Widowed,3,2023-07-09,M002,Withdrawal,Hobart,Desktop,-31.840233,145.612793,0,8,1,41721.77,14748.92,1433.25,58.31,2024-09-14 02:43:53,Night
785,1663,4614,30,Female,Professional,Bachelor,Single,0,2023-03-14,M003,Transfer,Sydney,Desktop,-37.0201,144.9646,0,116,0,104800.44,65244.52,9919.17,89.93,2024-09-14 16:22:22,Afternoon
786,2901,3506,24,Male,Student,Bachelor,Divorced,2,2023-12-19,M001,Purchase,Canberra,Mobile,-31.840233,145.612793,0,21,0,22428.4,14161.64,441.49,342.93,2024-09-14 22:36:32,Evening
787,4099,673,31,Female,Student,Master,Married,1,2023-12-30,M005,Transfer,Canberra,Desktop,-31.840233,145.612793,1,113,0,92784.47,49798.74,17675.95,202.44,2024-09-14 20:35:40,Evening
788,4268,2761,37,Female,Student,Master,Married,0,2023-08-01,M005,Withdrawal,Darwin,Tablet,-37.0201,144.9646,0,110,1,149434.63,70271.68,7353.51,1853.26,2024-09-14 00:45:11,Night
789,9162,1490,39,Female,Student,High School,Divorced,1,2023-05-29,M001,Purchase,Sydney,Mobile,-37.0201,144.9646,0,72,1,53845.57,27719.45,12445.0,133.46,2024-09-14 04:49:14,Night
790,5088,3893,35,Male,Student,High School,Married,0,2023-04-09,M003,Purchase,Hobart,Desktop,-37.0201,144.9646,1,19,1,135720.72,104567.22,7364.27,2611.27,2024-09-14 00:21:16,Night
791,16564,138,35,Male,Retired,Bachelor,Married,2,2023-07-03,M003,Withdrawal,Perth,Mobile,-37.0201,144.9646,0,15,1,68954.0,22497.08,4552.21,2090.12,2024-09-14 02:23:53,Night
792,2540,984,18,Female,Student,High School,Divorced,2,2023-12-28,M002,Transfer,Adelaide,Desktop,-37.0201,144.9646,0,115,0,42686.38,21476.27,5778.33,87.26,2024-09-14 10:51:05,Morning
793,15911,2207,42,Female,Professional,PhD,Married,1,2023-10-01,M003,Withdrawal,Sydney,Mobile,-37.0201,144.9646,1,2,1,67954.99,33257.74,151.94,59.72,2024-09-14 19:17:55,Evening
794,13688,1822,22,Male,Professional,Bachelor,Divorced,4,2023-05-15,M006,Transfer,Darwin,Mobile,-31.840233,145.612793,1,91,0,67604.85,46629.62,4787.44,182.87,2024-09-14 14:59:05,Afternoon
795,15506,2190,40,Male,Professional,PhD,Married,1,2023-08-24,M003,Purchase,Darwin,Desktop,-37.0201,144.9646,0,33,0,36070.65,22805.45,6902.11,256.73,2024-09-14 17:44:25,Afternoon
796,6407,3074,29,Male,Student,High School,Married,1,2023-12-11,M001,Purchase,Sydney,Mobile,-30.000233,136.209152,0,1,1,37498.65,21872.99,5125.16,54.16,2024-09-14 00:37:08,Night
797,6883,3396,39,Male,Retired,Master,Single,2,2023-11-20,M006,Transfer,Melbourne,Mobile,-37.0201,144.9646,0,105,0,73060.07,33032.48,579.38,279.29,2024-09-14 18:34:27,Evening
798,12402,2465,26,Male,Student,High School,Single,1,2023-05-01,M002,Payment,Melbourne,Desktop,-37.0201,144.9646,1,18,0,39556.5,16097.68,7013.68,134.69,2024-09-14 17:41:37,Afternoon
799,9954,2018,53,Female,Professional,Master,Single,3,2023-07-18,M006,Transfer,Perth,Desktop,-31.840233,145.612793,0,23,0,38073.04,25456.41,2394.61,54.02,2024-09-14 13:18:07,Afternoon
800,18266,417,23,Female,Unemployed,Bachelor,Married,1,2023-08-31,M005,Transfer,Adelaide,Desktop,-30.000233,136.209152,0,76,0,28213.38,15615.74,4152.88,190.29,2024-09-14 14:30:58,Afternoon
801,2354,4048,41,Female,Professional,Bachelor,Married,2,2023-12-29,M004,Purchase,Canberra,Mobile,-30.000233,136.209152,1,10,0,81376.98,51987.89,2373.97,237.5,2024-09-14 17:49:35,Afternoon
802,2134,3986,39,Female,Professional,High School,Married,0,2023-03-14,M008,Purchase,Darwin,Mobile,-30.000233,136.209152,0,93,0,75884.73,29417.97,11609.94,36.76,2024-09-14 17:40:57,Afternoon
803,8261,4658,21,Male,Professional,High School,Married,1,2023-10-24,M006,Withdrawal,Hobart,Tablet,-30.000233,136.209152,0,86,1,36476.63,11092.23,2971.83,105.65,2024-09-14 00:21:01,Night
804,8784,1304,54,Male,Professional,High School,Married,3,2023-06-04,M008,Withdrawal,Melbourne,Mobile,-31.840233,145.612793,1,68,1,121104.02,85405.0,4970.34,249.38,2024-09-14 05:34:03,Night
805,2397,1232,38,Male,Unemployed,Master,Single,2,2023-10-09,M005,Transfer,Adelaide,Tablet,-20.917574,142.702789,0,30,0,60821.34,33318.51,2412.09,193.02,2024-09-14 21:21:34,Evening
806,707,3404,53,Male,Student,Bachelor,Single,3,2023-12-17,M006,Purchase,Darwin,Mobile,-31.840233,145.612793,1,79,1,140850.66,52514.86,23702.06,30.61,2024-09-14 04:55:13,Night
807,15843,2304,43,Male,Student,Bachelor,Widowed,2,2023-12-30,M004,Purchase,Perth,Desktop,-19.491411,132.550964,0,101,0,75888.6,42306.37,1216.9,63.63,2024-09-14 16:41:18,Afternoon
808,4184,2406,36,Female,Student,High School,Married,4,2023-12-03,M007,Transfer,Brisbane,Desktop,-31.840233,145.612793,0,65,1,50842.22,33296.97,1110.79,104.65,2024-09-14 00:00:00,Night
809,891,813,38,Female,Professional,PhD,Married,2,2023-10-17,M004,Transfer,Canberra,Mobile,-37.0201,144.9646,1,76,0,72800.78,39812.41,1521.12,963.6,2024-09-14 22:16:34,Evening
810,2576,1129,18,Female,Professional,Bachelor,Married,1,2023-07-21,M007,Purchase,Sydney,Mobile,-37.0201,144.9646,0,93,0,100130.58,64388.68,7784.61,304.4,2024-09-14 21:43:06,Evening
811,2373,1464,22,Female,Student,Bachelor,Widowed,0,2023-11-07,M006,Transfer,Melbourne,Mobile,-25.042261,117.793221,0,56,0,92054.03,39790.02,26873.21,139.99,2024-09-14 06:50:52,Morning
812,16828,1056,27,Male,Student,PhD,Widowed,3,2023-08-31,M004,Purchase,Sydney,Tablet,-25.042261,117.793221,1,113,0,99053.79,43344.93,37289.58,513.92,2024-09-14 09:57:02,Morning
813,17958,3243,22,Male,Student,High School,Single,4,2023-10-26,M003,Transfer,Canberra,Mobile,-37.0201,144.9646,0,117,0,78399.65,36131.82,5027.26,64.42,2024-09-14 15:11:26,Afternoon
814,13733,1172,31,Male,Retired,Master,Married,4,2023-12-27,M006,Withdrawal,Adelaide,Tablet,-20.917574,142.702789,0,101,1,58300.8,42375.47,157.56,7.51,2024-09-14 14:42:22,Afternoon
815,12673,3963,37,Female,Professional,Bachelor,Single,2,2023-10-10,M002,Transfer,Perth,Desktop,-31.840233,145.612793,0,35,0,59926.02,37549.19,11798.75,48.47,2024-09-14 23:59:59,Night
816,8743,3039,18,Female,Professional,Bachelor,Married,1,2023-04-24,M006,Transfer,Canberra,Mobile,-37.0201,144.9646,1,64,0,33662.54,25777.48,2707.39,255.62,2024-09-14 21:25:04,Evening
817,12204,1446,26,Female,Professional,High School,Married,4,2023-12-26,M005,Purchase,Hobart,Mobile,-20.917574,142.702789,0,8,0,124083.16,61636.1,11292.38,88.9,2024-09-14 17:26:36,Afternoon
818,16064,1438,36,Female,Professional,Bachelor,Widowed,1,2023-05-05,M005,Purchase,Melbourne,Desktop,-37.0201,144.9646,0,91,0,65503.31,33271.64,3467.07,61.39,2024-09-14 13:08:51,Afternoon
819,1281,1159,38,Male,Professional,High School,Married,4,2023-05-13,M002,Purchase,Darwin,Mobile,-20.917574,142.702789,0,49,1,143379.3,83410.12,14689.2,624.78,2024-09-14 02:11:39,Night
820,18085,482,41,Male,Professional,Bachelor,Married,4,2023-01-03,M005,Purchase,Canberra,Mobile,-25.042261,117.793221,1,34,1,86318.21,59820.41,24721.18,2679.96,2024-09-14 02:20:43,Night
821,18088,3372,33,Female,Professional,High School,Single,2,2023-07-25,M002,Transfer,Brisbane,Desktop,-31.840233,145.612793,1,68,0,103946.6,78892.45,9026.49,319.44,2024-09-14 10:48:27,Morning
822,8679,2402,54,Male,Retired,High School,Single,1,2023-02-06,M003,Transfer,Darwin,Mobile,-30.000233,136.209152,0,89,0,113507.78,85220.36,9885.14,1258.82,2024-09-14 21:01:54,Evening
823,5640,4049,31,Female,Student,Master,Married,0,2023-11-26,M006,Purchase,Darwin,Tablet,-37.0201,144.9646,0,20,0,75917.79,53485.94,1734.78,553.09,2024-09-14 06:07:59,Morning
824,10940,3190,25,Male,Student,PhD,Single,0,2023-12-01,M001,Withdrawal,Adelaide,Mobile,-31.840233,145.612793,0,89,1,76017.28,45909.28,3572.69,151.04,2024-09-14 13:52:06,Afternoon
825,9384,4054,30,Female,Professional,Bachelor,Single,1,2023-05-14,M004,Purchase,Hobart,Mobile,-31.840233,145.612793,0,36,1,71775.73,53798.41,1578.64,99.24,2024-09-14 02:00:27,Night
826,9989,1009,41,Female,Retired,Bachelor,Married,0,2023-02-06,M003,Purchase,Canberra,Mobile,-30.000233,136.209152,1,98,1,69929.72,24870.04,8031.39,2880.61,2024-09-14 04:20:43,Night
827,2515,4338,33,Male,Professional,PhD,Married,0,2023-08-01,M004,Purchase,Adelaide,Desktop,-20.917574,142.702789,0,93,0,42421.74,24604.95,3489.58,289.97,2024-09-14 07:13:54,Morning
828,13604,1186,40,Female,Professional,High School,Single,3,2023-08-22,M007,Withdrawal,Sydney,Mobile,-37.0201,144.9646,1,108,1,68372.56,20517.32,29.26,92.27,2024-09-14 19:29:49,Evening
829,4262,4387,40,Male,Student,Master,Married,0,2023-07-01,M008,Withdrawal,Perth,Mobile,-30.000233,136.209152,0,95,1,32085.91,21671.56,144.86,72.25,2024-09-14 23:08:26,Evening
830,11893,4043,26,Male,Professional,Master,Single,2,2023-08-19,M002,Transfer,Darwin,Desktop,-35.473469,149.012375,0,11,0,79714.41,49272.1,5009.68,340.93,2024-09-14 08:13:05,Morning
831,5631,201,27,Female,Professional,High School,Married,1,2023-11-12,M007,Withdrawal,Brisbane,Tablet,-20.917574,142.702789,0,24,1,45935.61,31826.32,1654.61,542.48,2024-09-14 15:38:14,Afternoon
832,1471,4377,33,Male,Professional,High School,Single,4,2023-12-30,M001,Purchase,Adelaide,Mobile,-20.917574,142.702789,0,48,0,45448.47,24620.8,4517.09,19.8,2024-09-14 19:03:21,Evening
833,415,1239,31,Male,Student,High School,Married,3,2023-04-13,M004,Transfer,Melbourne,Desktop,-31.840233,145.612793,0,111,0,88232.42,28090.7,17488.75,1013.67,2024-09-14 16:05:38,Afternoon
834,8395,2471,21,Male,Professional,Master,Married,0,2023-11-04,M007,Purchase,Brisbane,Mobile,-31.840233,145.612793,1,105,0,90564.82,38656.08,15570.44,297.53,2024-09-14 18:30:51,Evening
835,6346,903,38,Female,Unemployed,Bachelor,Single,4,2023-09-02,M007,Purchase,Hobart,Mobile,-20.917574,142.702789,0,70,0,36257.29,21583.89,5736.96,395.71,2024-09-14 14:12:55,Afternoon
836,5013,4121,53,Female,Retired,High School,Single,0,2023-11-01,M002,Transfer,Perth,Mobile,-20.917574,142.702789,0,87,0,28412.11,16222.7,6238.19,13.22,2024-09-14 10:57:53,Morning
837,6958,1829,32,Male,Student,Bachelor,Married,2,2023-06-20,M003,Transfer,Melbourne,Mobile,-30.000233,136.209152,0,9,0,126145.32,45669.32,9790.93,367.76,2024-09-14 20:40:01,Evening
838,16243,4589,44,Male,Student,Bachelor,Married,0,2023-10-19,M003,Purchase,Canberra,Desktop,-20.917574,142.702789,1,76,0,114604.0,42913.92,10237.79,478.58,2024-09-14 14:45:37,Afternoon
839,5778,1416,19,Female,Student,Bachelor,Married,1,2023-11-16,M006,Purchase,Brisbane,Desktop,-41.640079,146.315918,0,54,0,78246.41,61071.58,5543.84,226.07,2024-09-14 14:32:58,Afternoon
840,7188,1560,34,Male,Student,High School,Married,1,2023-12-29,M003,Purchase,Brisbane,Desktop,-20.917574,142.702789,0,13,0,121310.66,92570.74,22350.45,175.81,2024-09-14 13:10:11,Afternoon
841,12751,1481,32,Female,Professional,Bachelor,Single,3,2023-08-05,M004,Purchase,Darwin,Desktop,-20.917574,142.702789,0,80,0,31368.85,23051.46,3875.39,172.89,2024-09-14 08:34:41,Morning
842,3695,185,39,Female,Student,High School,Single,2,2023-04-16,M008,Purchase,Darwin,Mobile,-31.840233,145.612793,0,20,0,70835.43,38841.26,40.02,408.84,2024-09-14 11:34:52,Morning
843,710,845,31,Female,Student,Bachelor,Married,3,2023-07-19,M001,Purchase,Darwin,Mobile,-37.0201,144.9646,1,58,0,56750.47,43797.39,2642.47,40.71,2024-09-14 10:02:27,Morning
844,13671,3423,44,Female,Professional,Bachelor,Single,1,2023-10-25,M005,Withdrawal,Adelaide,Desktop,-31.840233,145.612793,0,20,1,72005.84,31660.19,3764.61,5.21,2024-09-14 03:55:34,Night
845,16508,473,48,Male,Professional,Master,Single,1,2023-08-16,M003,Purchase,Hobart,Mobile,-37.0201,144.9646,0,76,0,76719.23,39625.86,10357.53,33.61,2024-09-14 12:05:44,Afternoon
846,3528,2242,31,Female,Student,Bachelor,Widowed,3,2023-10-22,M003,Transfer,Adelaide,Mobile,-19.491411,132.550964,0,11,0,86651.69,30667.53,4828.26,32.11,2024-09-14 08:14:35,Morning
847,4503,1253,20,Male,Professional,High School,Single,0,2023-12-29,M004,Purchase,Sydney,Desktop,-31.840233,145.612793,0,80,0,57500.19,42178.25,2257.27,328.7,2024-09-14 09:04:46,Morning
848,8599,1577,30,Female,Retired,High School,Single,4,2023-06-27,M008,Withdrawal,Brisbane,Desktop,-37.0201,144.9646,1,45,1,94395.29,66126.26,11134.39,164.64,2024-09-14 16:05:41,Afternoon
849,2528,4279,34,Male,Retired,Bachelor,Single,0,2023-03-02,M002,Purchase,Sydney,Mobile,-31.840233,145.612793,0,15,0,29439.07,18642.5,3972.21,158.32,2024-09-14 10:43:52,Morning
850,1249,409,35,Female,Retired,High School,Single,3,2023-08-04,M002,Payment,Melbourne,Desktop,-31.840233,145.612793,0,100,0,48890.28,32383.31,7219.19,54.73,2024-09-14 20:01:43,Evening
851,11331,4638,50,Male,Professional,High School,Married,0,2023-09-07,M007,Withdrawal,Perth,Mobile,-31.840233,145.612793,0,46,1,47035.94,18317.57,4366.04,55.0,2024-09-14 04:13:02,Night
852,8786,1535,52,Female,Professional,Master,Married,3,2023-12-06,M004,Transfer,Darwin,Desktop,-25.042261,117.793221,0,53,0,50390.54,23727.47,2439.46,22.9,2024-09-14 07:21:24,Morning
853,2893,2175,43,Male,Retired,PhD,Widowed,4,2023-09-03,M005,Withdrawal,Darwin,Mobile,-37.0201,144.9646,0,30,1,20721.63,12591.82,471.85,514.16,2024-09-14 22:09:28,Evening
854,15457,2720,34,Female,Professional,Bachelor,Married,1,2023-11-28,M001,Withdrawal,Adelaide,Mobile,-31.840233,145.612793,1,117,1,48871.92,33907.41,3724.88,56.02,2024-09-14 08:28:14,Morning
855,1495,3224,18,Female,Professional,High School,Divorced,0,2023-05-02,M003,Purchase,Brisbane,Desktop,-20.917574,142.702789,1,12,0,89236.47,70198.17,5220.89,209.85,2024-09-14 11:01:25,Morning
856,8192,3360,51,Female,Retired,High School,Married,1,2023-12-01,M006,Payment,Darwin,Desktop,-20.917574,142.702789,0,18,0,43596.94,14435.7,7962.68,457.26,2024-09-14 22:40:30,Evening
857,14853,4579,22,Female,Student,High School,Single,1,2023-03-02,M002,Transfer,Canberra,Desktop,-31.840233,145.612793,1,114,0,17209.97,12849.13,150.61,13.34,2024-09-14 14:35:42,Afternoon
858,6249,4430,19,Female,Student,High School,Married,3,2023-12-20,M004,Purchase,Brisbane,Mobile,-20.917574,142.702789,0,46,1,35589.86,20903.74,4274.03,21.54,2024-09-14 02:57:47,Night
859,5768,4469,18,Male,Professional,Bachelor,Married,2,2023-11-15,M006,Payment,Sydney,Mobile,-37.0201,144.9646,0,21,0,63121.9,43330.97,9412.17,140.21,2024-09-14 16:33:09,Afternoon
860,13915,1847,34,Female,Professional,High School,Single,2,2023-09-01,M004,Transfer,Melbourne,Mobile,-20.917574,142.702789,1,39,0,85197.69,31651.82,3462.63,76.16,2024-09-14 13:05:05,Afternoon
861,10036,1673,33,Male,Student,High School,Married,1,2023-08-11,M002,Purchase,Darwin,Tablet,-20.917574,142.702789,0,8,0,75884.37,39066.61,11908.55,193.67,2024-09-14 16:10:37,Afternoon
862,4091,1288,39,Female,Retired,Bachelor,Single,3,2023-02-07,M001,Purchase,Sydney,Mobile,-37.0201,144.9646,1,63,0,76495.07,33862.74,11669.17,560.16,2024-09-14 10:45:32,Morning
863,17178,4514,33,Male,Student,Bachelor,Married,3,2023-12-22,M007,Purchase,Brisbane,Mobile,-37.0201,144.9646,0,6,1,63578.15,49039.8,457.31,253.53,2024-09-14 05:13:41,Night
864,2888,2208,36,Male,Professional,High School,Single,0,2023-09-12,M002,Transfer,Sydney,Mobile,-25.042261,117.793221,1,26,0,82178.89,37227.16,7881.16,41.27,2024-09-14 14:23:26,Afternoon
865,14994,2959,41,Male,Professional,Master,Widowed,3,2023-04-07,M002,Transfer,Darwin,Mobile,-31.840233,145.612793,0,26,0,59616.38,42933.66,649.78,73.18,2024-09-14 17:53:06,Afternoon
866,15302,873,44,Female,Professional,High School,Widowed,3,2023-08-07,M008,Transfer,Adelaide,Mobile,-37.0201,144.9646,0,88,1,35631.99,11456.68,10919.03,14.15,2024-09-14 03:36:28,Night
867,16534,2631,18,Female,Student,High School,Married,4,2023-10-13,M005,Purchase,Perth,Desktop,-20.917574,142.702789,0,86,1,72341.89,47139.24,2222.45,183.38,2024-09-14 05:30:48,Night
868,11807,3211,25,Male,Unemployed,Bachelor,Married,2,2023-11-15,M008,Transfer,Adelaide,Desktop,-20.917574,142.702789,0,80,0,77376.39,24107.55,10958.07,472.46,2024-09-14 15:04:38,Afternoon
869,1523,2773,44,Male,Student,Master,Single,4,2023-08-19,M003,Payment,Perth,Mobile,-25.042261,117.793221,0,20,1,32680.45,11239.33,922.75,60.25,2024-09-14 00:00:00,Night
870,11726,2101,40,Female,Professional,High School,Single,4,2023-08-06,M006,Transfer,Hobart,Mobile,-31.840233,145.612793,1,69,0,68788.0,35218.73,2134.11,58.44,2024-09-14 09:20:07,Morning
871,8968,533,41,Female,Professional,Bachelor,Married,3,2023-12-30,M006,Payment,Canberra,Desktop,-37.0201,144.9646,0,57,0,89782.89,67481.58,21281.39,80.62,2024-09-14 14:36:29,Afternoon
872,7249,2962,37,Male,Professional,High School,Married,2,2023-09-12,M006,Purchase,Sydney,Desktop,-37.0201,144.9646,1,93,0,73711.66,27304.81,13553.44,105.92,2024-09-14 22:52:58,Evening
873,5206,3502,37,Male,Professional,Bachelor,Married,3,2023-07-12,M001,Purchase,Darwin,Mobile,-31.840233,145.612793,1,48,1,66085.25,35902.49,15967.45,24.71,2024-09-14 04:10:15,Night
874,1241,4050,30,Male,Student,Bachelor,Single,2,2023-09-21,M002,Purchase,Hobart,Mobile,-37.0201,144.9646,0,117,0,90087.6,39899.57,8057.46,44.25,2024-09-14 14:48:15,Afternoon
875,1406,2514,34,Female,Professional,High School,Single,2,2023-10-06,M006,Withdrawal,Perth,Mobile,-30.000233,136.209152,1,23,1,117544.28,58095.57,12831.94,497.61,2024-09-14 04:11:48,Night
876,3319,2696,36,Female,Retired,High School,Single,4,2023-11-29,M004,Purchase,Perth,Desktop,-31.840233,145.612793,0,70,0,72013.6,42255.33,1333.39,10.5,2024-09-14 19:53:02,Evening
877,8508,2431,44,Female,Retired,High School,Married,0,2023-11-16,M004,Purchase,Brisbane,Mobile,-19.491411,132.550964,0,8,0,71354.33,38010.74,1163.67,99.53,2024-09-14 16:55:09,Afternoon
878,15621,4348,33,Male,Student,High School,Married,0,2023-08-23,M006,Payment,Brisbane,Mobile,-37.0201,144.9646,1,4,1,33041.76,23534.95,2486.11,161.04,2024-09-14 05:00:01,Night
879,916,2528,23,Male,Unemployed,Bachelor,Single,1,2023-03-14,M008,Purchase,Darwin,Mobile,-25.042261,117.793221,0,12,1,89949.73,54804.39,2910.27,1678.37,2024-09-14 02:04:21,Night
880,527,1493,30,Male,Professional,High School,Single,0,2023-12-19,M002,Purchase,Adelaide,Tablet,-20.917574,142.702789,0,49,1,96612.28,39648.63,5616.24,75.72,2024-09-14 02:04:26,Night
881,12129,2606,54,Male,Student,High School,Single,3,2023-09-05,M007,Transfer,Brisbane,Mobile,-25.042261,117.793221,1,24,1,51308.04,20618.31,9886.4,31.33,2024-09-14 02:24:21,Night
882,12102,2494,20,Female,Unemployed,High School,Married,0,2023-05-28,M005,Purchase,Brisbane,Mobile,-31.840233,145.612793,0,45,1,134161.89,55084.6,21631.74,45.67,2024-09-14 01:10:23,Night
883,17975,4296,30,Female,Retired,High School,Married,0,2023-08-15,M006,Payment,Brisbane,Mobile,-31.840233,145.612793,0,88,1,109332.14,87307.74,9309.3,19.58,2024-09-14 02:55:58,Night
884,15103,2044,46,Male,Professional,Master,Single,4,2023-04-08,M006,Transfer,Perth,Desktop,-35.473469,149.012375,0,44,0,60674.34,28756.3,364.54,44.17,2024-09-14 17:43:53,Afternoon
885,18162,2435,22,Female,Student,High School,Married,4,2023-07-10,M003,Withdrawal,Canberra,Mobile,-20.917574,142.702789,0,31,1,27692.01,12982.48,652.9,2804.81,2024-09-14 12:51:09,Afternoon
886,13820,2496,18,Male,Professional,Bachelor,Married,0,2023-03-30,M005,Purchase,Darwin,Mobile,-31.840233,145.612793,0,33,0,62049.91,49226.29,3821.94,323.95,2024-09-14 23:59:59,Night
887,17383,1388,33,Female,Student,High School,Married,2,2023-07-18,M008,Purchase,Brisbane,Mobile,-37.0201,144.9646,0,113,0,72300.94,31985.36,2529.14,80.72,2024-09-14 07:23:27,Morning
